page,clicks,impressions,ctr,position
https://palworld-chi.vercel.app/en/pal/astegon/location,0,166,0,9.1
https://palworld-chi.vercel.app/en/pal/beegarde,0,2,0,36.5
https://palworld-chi.vercel.app/en/pal/blazamut,0,5,0,48.6
https://palworld-chi.vercel.app/en/pal/bushi,0,15,0,18.5
https://palworld-chi.vercel.app/en/pal/bushi-noct/location,0,4,0,32.5
https://palworld-chi.vercel.app/en/pal/cinnamoth,0,4,0,13.5
https://palworld-chi.vercel.app/en/pal/dandilord,0,5,0,12.8
https://palworld-chi.vercel.app/en/pal/dazzi-noct,0,3,0,23
https://palworld-chi.vercel.app/en/pal/dinossom,0,1,0,61
https://palworld-chi.vercel.app/en/pal/dogen,0,2,0,40
https://palworld-chi.vercel.app/en/pal/dualith-noct,0,2,0,5.5
https://palworld-chi.vercel.app/en/pal/dupin,0,24,0,9.3
https://palworld-chi.vercel.app/en/pal/dynamoff,0,4,0,10.2
https://palworld-chi.vercel.app/en/pal/eidrolon,0,17,0,8.1
https://palworld-chi.vercel.app/en/pal/eikthyrdeer/location,0,11,0,7.9
https://palworld-chi.vercel.app/en/pal/faleris,0,8,0,15
https://palworld-chi.vercel.app/en/pal/fenglope,0,1,0,65
https://palworld-chi.vercel.app/en/pal/finsider/location,0,2,0,8
https://palworld-chi.vercel.app/en/pal/flaracle,0,5,0,8.8
https://palworld-chi.vercel.app/en/pal/foxcicle/location,0,17,0,18.6
https://palworld-chi.vercel.app/en/pal/frostallion-noct,0,8,0,15.4
https://palworld-chi.vercel.app/en/pal/frostallion-noct/location,0,6,0,9.7
https://palworld-chi.vercel.app/en/pal/gildra,0,3,0,15.7
https://palworld-chi.vercel.app/en/pal/gobfin,0,2,0,6
https://palworld-chi.vercel.app/en/pal/gorirat,0,2,0,62.5
https://palworld-chi.vercel.app/en/pal/grizzbolt/breeding,0,1,0,1
https://palworld-chi.vercel.app/en/pal/hartalis,0,6,0,23.2
https://palworld-chi.vercel.app/en/pal/helzephyr-lux/location,0,2,0,6.5
https://palworld-chi.vercel.app/en/pal/icelyn,0,2,0,56.5
https://palworld-chi.vercel.app/en/pal/jetragon,0,1,0,33
https://palworld-chi.vercel.app/en/pal/jormuntide/location,0,105,0,9.9
https://palworld-chi.vercel.app/en/pal/katress-ignis/location,0,7,0,13
https://palworld-chi.vercel.app/en/pal/kikit,0,4,0,33.5
https://palworld-chi.vercel.app/en/pal/kingpaca-cryst/location,0,7,0,8
https://palworld-chi.vercel.app/en/pal/kitsun-noct,0,9,0,29.9
https://palworld-chi.vercel.app/en/pal/knocklem,0,4,0,41
https://palworld-chi.vercel.app/en/pal/lapure,0,10,0,8.3
https://palworld-chi.vercel.app/en/pal/loupmoon,0,1,0,11
https://palworld-chi.vercel.app/en/pal/lovander,0,22,0,20.8
https://palworld-chi.vercel.app/en/pal/lullu/location,0,6,0,6
https://palworld-chi.vercel.app/en/pal/mammorest,0,5,0,37.6
https://palworld-chi.vercel.app/en/pal/maraith,0,3,0,9
https://palworld-chi.vercel.app/en/pal/moldron,0,1,0,10
https://palworld-chi.vercel.app/en/pal/moldron-cryst,0,3,0,6.7
https://palworld-chi.vercel.app/en/pal/mossanda/location,0,19,0,21.8
https://palworld-chi.vercel.app/en/pal/munchill,0,3,0,9
https://palworld-chi.vercel.app/en/pal/mycora,0,3,0,7.7
https://palworld-chi.vercel.app/en/pal/neptilius/location,0,92,0,8.1
https://palworld-chi.vercel.app/en/pal/omascul,0,11,0,8.9
https://palworld-chi.vercel.app/en/pal/ophydia,0,6,0,10
https://palworld-chi.vercel.app/en/pal/paladius/location,0,5,0,9.4
https://palworld-chi.vercel.app/en/pal/penking,0,4,0,41.8
https://palworld-chi.vercel.app/en/pal/petallia-ignis,0,3,0,6.7
https://palworld-chi.vercel.app/en/pal/puffolt,0,1,0,10
https://palworld-chi.vercel.app/en/pal/quivern,0,3,0,10
https://palworld-chi.vercel.app/en/pal/ragnahawk,0,4,0,36.8
https://palworld-chi.vercel.app/en/pal/rayhound,0,4,0,56.8
https://palworld-chi.vercel.app/en/pal/reindrix/location,0,3,0,25
https://palworld-chi.vercel.app/en/pal/relaxaurus-lux,0,1,0,61
https://palworld-chi.vercel.app/en/pal/reptyro/location,0,11,0,7.4
https://palworld-chi.vercel.app/en/pal/selyne,0,4,0,10.8
https://palworld-chi.vercel.app/en/pal/shadowbeak,0,13,0,21.2
https://palworld-chi.vercel.app/en/pal/sibelyx-primo,0,4,0,5
https://palworld-chi.vercel.app/en/pal/sibelyx/location,0,4,0,21.2
https://palworld-chi.vercel.app/en/pal/skutlass,0,1,0,10
https://palworld-chi.vercel.app/en/pal/snock-lux,0,1,0,10
https://palworld-chi.vercel.app/en/pal/solenne,0,9,0,8.7
https://palworld-chi.vercel.app/en/pal/sootseer,0,1,0,8
https://palworld-chi.vercel.app/en/pal/starryon,0,1,0,5
https://palworld-chi.vercel.app/en/pal/starryon-primo/location,0,4,0,8.2
https://palworld-chi.vercel.app/en/pal/suzaku,0,3,0,6.3
https://palworld-chi.vercel.app/en/pal/tocotoco,0,11,0,9.1
https://palworld-chi.vercel.app/en/pal/tropicaw,0,1,0,10
https://palworld-chi.vercel.app/en/pal/univolt/breeding,0,1,0,9
https://palworld-chi.vercel.app/en/pal/xenogard/location,0,7,0,14
https://palworld-chi.vercel.app/ja/guide/mobile,0,1,0,60
https://palworld-chi.vercel.app/ja/guide/mods,0,4,0,82
https://palworld-chi.vercel.app/ja/guide/server,0,4,0,92.8
https://palworld-chi.vercel.app/ja/items?category=Blueprint,0,1,0,6
https://palworld-chi.vercel.app/ja/pal/broncherry-aqua,0,3,0,8.7
https://palworld-chi.vercel.app/ja/pal/hangyu-cryst/breeding,0,1,0,5
https://palworld-chi.vercel.app/ja/pal/pierdon-cryst,0,1,0,9
https://palworld-chi.vercel.app/ja/pal/pyrin/location,0,1,0,10
https://palworld-chi.vercel.app/ja/pal/solmora-lux,0,1,0,19
https://palworld-chi.vercel.app/ja/pal/starryon-primo,0,1,0,9
https://palworld-chi.vercel.app/ru,0,4,0,8.8
https://palworld-chi.vercel.app/ru/guide/wiki,0,3,0,49
https://palworld-chi.vercel.app/ru/pal/anubis,0,6,0,34
https://palworld-chi.vercel.app/ru/pal/dogen,0,1,0,9
https://palworld-chi.vercel.app/ru/pal/dualith-noct/location,0,1,0,7
https://palworld-chi.vercel.app/ru/pal/eikthyrdeer-terra/location,0,1,0,25
https://palworld-chi.vercel.app/ru/pal/elphidran,0,2,0,7
https://palworld-chi.vercel.app/ru/pal/faleris/location,0,1,0,46
https://palworld-chi.vercel.app/ru/pal/incineram,0,2,0,41
https://palworld-chi.vercel.app/ru/pal/kitsun-noct/location,0,1,0,6
https://palworld-chi.vercel.app/ru/pal/knocklem,0,2,0,7.5
https://palworld-chi.vercel.app/ru/pal/lyleen/breeding,0,2,0,63
https://palworld-chi.vercel.app/ru/pal/pengullet-lux,0,1,0,7
https://palworld-chi.vercel.app/ru/pal/relaxaurus-lux/location,0,1,0,8
https://palworld-chi.vercel.app/ru/pal/shadowbeak,0,1,0,8
https://palworld-chi.vercel.app/ru/pal/shroomer-noct,0,1,0,8
https://palworld-chi.vercel.app/ru/pal/tetroise-primo/location,0,1,0,10
https://palworld-chi.vercel.app/zh-CN/guide/fishing,0,1,0,10
https://palworld-chi.vercel.app/zh-CN/guide/materials,0,2,0,4.5
https://palworld-chi.vercel.app/zh-CN/guide/money,0,1,0,10
https://palworld-chi.vercel.app/zh-CN/item/bossdefeatreward-badcatgirl,0,1,0,7
https://palworld-chi.vercel.app/zh-CN/item/otomo-dfelectricity-elementboost-1,0,1,0,10
https://palworld-chi.vercel.app/zh-CN/map,0,1,0,9
https://palworld-chi.vercel.app/zh-CN/pal/arsox/location,0,1,0,61
https://palworld-chi.vercel.app/zh-CN/pal/astralym/breeding,0,10,0,8.9
https://palworld-chi.vercel.app/zh-CN/pal/bastigor/breeding,0,2,0,18.5
https://palworld-chi.vercel.app/zh-CN/pal/blazamut-ryu,0,1,0,23
https://palworld-chi.vercel.app/zh-CN/pal/depresso/location,0,1,0,9
https://palworld-chi.vercel.app/zh-CN/pal/digtoise/location,0,3,0,32.7
https://palworld-chi.vercel.app/zh-CN/pal/felbat/location,0,2,0,58.5
https://palworld-chi.vercel.app/zh-CN/pal/helzephyr/location,0,1,0,6
https://palworld-chi.vercel.app/zh-CN/pal/jetragon/breeding,0,1,0,1
https://palworld-chi.vercel.app/zh-CN/pal/katress,0,1,0,9
https://palworld-chi.vercel.app/zh-CN/pal/lyleen-noct,0,3,0,6
https://palworld-chi.vercel.app/zh-CN/pal/panthalus/location,0,1,0,6
https://palworld-chi.vercel.app/zh-CN/pal/petallia/location,0,1,0,37
https://palworld-chi.vercel.app/zh-CN/pal/pupperai/location,0,1,0,1
https://palworld-chi.vercel.app/zh-CN/pal/smokie/location,0,1,0,8
https://palworld-chi.vercel.app/zh-TW/guide/base,0,2,0,2.5
https://palworld-chi.vercel.app/zh-TW/guide/beginner,0,5,0,11.6
https://palworld-chi.vercel.app/zh-TW/guide/materials,0,4,0,20.8
https://palworld-chi.vercel.app/zh-TW/guide/mobile,0,20,0,6.7
https://palworld-chi.vercel.app/zh-TW/guide/pals,0,4,0,5.2
https://palworld-chi.vercel.app/zh-TW/guide/passives,0,17,0,5.7
https://palworld-chi.vercel.app/zh-TW/guide/ps5,0,21,0,7.3
https://palworld-chi.vercel.app/zh-TW/guide/tcg,0,14,0,7.1
https://palworld-chi.vercel.app/zh-TW/guide/wiki,0,2,0,6.5
https://palworld-chi.vercel.app/zh-TW/pal/foxparks-cryst,0,1,0,59
https://palworld-chi.vercel.app/zh-TW/pal/jormuntide-ignis/breeding,0,7,0,57.3
https://palworld-chi.vercel.app/zh-TW/pal/xenogard,0,2,0,6
